Date,Volume,Volume Weight,Open,Close,High,Low,Transactions
2022-03-12,79462.75001118427,2585.5116,2556.39,2569.3,2624.0,2552.52,353294
2022-03-13,102164.39175893248,2556.2862,2568.99,2516.41,2603.6,2486.87,442495
2022-03-14,181070.6131285726,2559.4841,2516.2,2590.23,2610.8,2499.0,545498
2022-03-15,224629.88341988047,2588.0487,2592.74255324,2619.15,2671.1,2506.12,602909
2022-03-16,295642.1142554884,2695.3397,2618.71,2774.89,2791.32,2604.32,918366
2022-03-17,290492.088288179,2796.3322,2776.4,2814.66,2839.59,2747.75,743490
2022-03-18,362381.99802856665,2871.7864,2814.67,2940.01,2987.0,2768.25,863339
2022-03-19,154349.6543668683,2952.1721,2939.17,2952.34,2988.89,2891.9,552500
2022-03-20,135763.8811309925,2884.695,2952.35,2862.43,2965.94,2819.18,476545
2022-03-21,207907.5216312141,2908.5262,2862.44,2891.01,2965.26,2832.7,608702
2022-03-22,309927.7706168037,2998.6815,2890.78,2970.59,3057.49,2886.2,691795
2022-03-23,265504.79759586975,2983.1581,2969.0,3037.87,3047.76,2920.4,618235
2022-03-24,317097.70565533254,3066.7388,3036.0,3112.51,3131.42,3002.2,753436
2022-03-25,275699.2848219184,3133.3381,3110.5,3104.15,3195.0,3076.18,666160
2022-03-26,86976.66052226997,3123.1482,3103.91,3146.44,3154.47,3086.2,400324
2022-03-27,162547.1188129838,3204.5549,3145.3,3296.29,3299.99,3127.74,488457
2022-03-28,312222.3561011452,3357.9186,3296.14,3334.47,3437.24,3274.6,831076
2022-03-29,253945.3519677532,3415.7273,3332.5,3401.71,3483.87,3330.3,697368
2022-03-30,178451.03523742504,3391.0407,3401.7,3386.75,3448.62,3333.8,595301
2022-03-31,230104.76828684664,3342.7473,3386.68,3283.08,3447.03,3258.4,634217
2022-04-01,282506.1018337598,3360.7606,3282.83,3456.47,3482.9,3211.66,699561
2022-04-02,184000.54742655353,3483.3983,3454.65,3445.37,3532.85,3431.7,542554
2022-04-03,144389.4274741392,3500.9294,3443.73553307,3522.79,3581.6,3413.5,437044
2022-04-04,220202.29790355585,3479.996,3520.5,3520.4,3548.51,3405.36,583697
2022-04-05,239843.6861686573,3479.4817,3520.5,3407.0,3555.48,3375.0,621239
2022-04-06,102931.4002941926,3270.3915,3405.8,3168.44,3407.18,3163.0,90189
2022-04-07,211440.73894945756,3210.4859,3168.1,3227.56,3271.0,3143.01,523539
2022-04-08,178494.53953149624,3251.5227,3227.26,3192.54,3314.5,3173.48,521413
2022-04-09,75777.9904928104,3220.2181,3192.37,3259.03,3269.8,3181.8,344262
2022-04-10,102842.68731976813,3254.6025,3259.46,3203.05,3310.9,3189.92,347819
2022-04-11,326490.75005400425,3053.8004,3204.21960221,2979.53,3216.1,2950.0,714846
2022-04-12,252867.39132906403,3022.3198,2981.52002779,3028.27,3089.87,2950.35,612147
2022-04-13,188674.41584616152,3071.1424,3028.9,3119.0,3131.0,2997.5,530355
2022-04-14,163897.92718700715,3052.1609,3119.0,3021.77,3145.19,2976.0,528026
2022-04-15,92294.64999538797,3027.0057,3021.68,3041.02,3062.6,2993.29,398304
2022-04-16,58225.78581489214,3041.0897,3040.41,3060.35,3086.83,3010.67,338404
2022-04-17,89124.70369807084,3042.1163,3060.35,2988.4,3083.4,2971.09,333971
2022-04-18,226566.89639115048,2962.6401,2988.09,3056.19,3071.3,2880.0,555997
2022-04-19,146115.25599510435,3082.8341,3057.6,3102.57,3133.0,3029.58,466593
2022-04-20,156937.10658276445,3097.3609,3102.44,3077.06,3172.77,3032.72,592567
2022-04-21,214016.86014996504,3079.0879,3077.17,2983.94,3181.9,2938.63,678494
2022-04-22,177011.81049659225,2980.3111,2983.72,2963.05,3034.7,2933.13,635829
2022-04-23,69215.71442800436,2956.0698,2963.03,2933.44,2980.6,2917.0,430115
2022-04-24,64926.55406877568,2940.8508,2933.45,2921.96,2968.31,2910.0,409933
2022-04-25,291189.5883603183,2898.7904,2922.5,3007.22,3027.2,2797.51,825510
2022-04-26,62031.72471284122,2910.0602,3007.25,2811.0,3041.43,2766.75,51587
2022-04-27,220464.94008466534,2864.9474,2809.5,2889.72,2922.18,2794.23,667777
