Date,Volume,Volume Weight,Open,Close,High,Low,Transactions
2022-02-01,26080.191314408366,38641.1442,38492.53,38718.23,39416.42020804,38000.0,648788
2022-02-02,22377.24076551789,37738.6839,38717.60475262,36923.39,38888.88,36584.29,600474
2022-02-03,21670.35474620217,36749.6996,36930.43,37366.0,37450.75,36259.01,563938
2022-02-04,38984.83684415057,39264.7769,37367.0,41614.66,41788.81,37051.36,797778
2022-02-05,17889.10939249646,41528.3287,41613.75,41404.85,41983.12,40883.7,519815
2022-02-06,11484.044690671772,41768.2849,41441.0,42415.16,42739.0,41135.39,392809
2022-02-07,32762.69672365709,43309.7381,42421.82387236,43868.07,44540.0,41678.79,782958
2022-02-08,34032.15824606656,43850.6328,43865.0,44077.0,45519.24,42688.0,852915
2022-02-09,21336.026143893858,43994.7892,44079.55202568,44416.35,44865.72,43155.5,582440
2022-02-10,35524.775563126546,44500.5884,44437.0,43527.71,45900.0,43209.07,779335
2022-02-11,30509.325865845047,43088.7612,43521.87,42386.47,43969.72,41983.12,761480
2022-02-12,14159.40028225781,42326.2564,42386.47,42244.97,43050.0,41715.0,481659
2022-02-13,9799.62892029705,42324.9175,42244.91,42074.99,42789.0,41882.54,402919
2022-02-14,22780.76478957153,42289.5439,42090.0,42548.71,42876.15,41545.0,613669
2022-02-15,22232.405616900352,43948.4283,42548.71,44583.52,44785.66,42433.28,586007
2022-02-16,15939.713866519403,43963.1255,44567.0,43895.56,44590.75,43236.5,517028
2022-02-17,31507.948166844613,42090.1916,43894.94,40536.73,44204.78,40088.88,662964
2022-02-18,26209.50969535273,40250.8724,40532.65,39981.77,40996.31,39425.07,625763
2022-02-19,9320.056295841458,40060.2994,40027.0,40101.94,40482.0,39587.08,375005
2022-02-20,18570.53144832688,38660.9133,40101.93,38389.05,40164.0547683,37974.18,498905
2022-02-21,37627.007425375305,38254.5966,38395.99,37023.0,39555.0,36782.6,780592
2022-02-22,34745.11456301296,37427.7049,37022.11,38299.0,38485.0,36350.0,783280
2022-02-23,26330.00243948142,38224.2713,38269.94,37305.0,39310.0,37055.0,598399
2022-02-24,76581.9176928581,36097.0993,37253.26,38347.3,39926.0,34322.0,1345296
2022-02-25,32669.701180720313,38955.2697,38380.0,39238.5,39744.30276268,38016.44,766777
2022-02-26,15209.446475881074,39312.2713,39252.0,39137.8,40330.99,38592.04,482076
2022-02-27,25136.03338890614,38428.6742,39157.95514117,37717.08,39892.0,37015.74,605371
2022-02-28,44623.380428782766,40391.906,37739.64675691,43192.66,44268.0,37447.6,891288
2022-03-01,39444.78639871559,43792.5224,43189.48,44439.95,44993.12,42841.4,853885
2022-03-02,33420.49991398036,44162.2301,44442.0,43916.46,45470.0,43342.16,907914
2022-03-03,29803.66587119267,42850.4879,43946.0,42464.41,44118.53,41811.0,676370
2022-03-04,40348.79227485487,40746.1833,42476.25,39166.51,42559.00615524,38577.01,831825
2022-03-05,12979.80854117662,39172.4519,39166.77,39402.43,39628.0,38587.27,439829
2022-03-06,17197.529540516054,38898.0841,39407.87,38408.02,39730.5,38091.02,467373
2022-03-07,32440.85128758407,38250.6271,38437.04838587,38021.18416736,39583.0,37159.4,746134
2022-03-08,30237.039828920584,38681.2661,38018.58365775,38749.37,39398.0,37851.54,702445
2022-03-09,37850.93290173728,41503.6512,38749.16,41953.97,42607.0,38655.98,767472
